index,id,group,phase,score
281,42,1,1,72.488833749819
282,42,1,2,27.0489689938734
283,42,1,2,26.9307576807049
284,42,1,2,17.2581283908942
285,42,1,2,14.0781059978434
286,42,1,2,17.6404872582926
287,42,1,3,83.5199937818727
288,43,1,1,63.7228193972117
289,43,1,2,19.8681104368877
290,43,1,2,10.4157340228651
291,43,1,2,10.0999254373713
292,43,1,2,14.4854815106196
293,43,1,2,10.3687983626941
294,43,1,3,72.8285184477841
295,44,1,1,55.3053949359377
296,44,1,2,23.2409952713551
297,44,1,2,40.1835916014177
298,44,1,2,23.0673301039659
299,44,1,2,35.1406833272525
300,44,1,2,29.9845725247702
301,44,1,3,37.1412457739981
302,45,2,1,61.1092370430448
303,45,2,2,42.6413576143503
304,45,2,2,26.7647632439095
305,45,2,2,19.771674568663
306,45,2,2,18.2579906553879
307,45,2,2,22.6260137254036
308,45,2,3,47.4509219079238
309,46,2,1,47.5044700757648
310,46,2,2,43.8556855623946
311,46,2,2,30.8910700380255
312,46,2,2,22.8797747859316
313,46,2,2,32.6321027895094
314,46,2,2,32.7381617197443
315,46,2,3,27.9780481022646
316,47,2,1,101.851578235833
317,47,2,2,31.4538160882758
318,47,2,2,17.9286569148129
319,47,2,2,19.8326725984679
320,47,2,2,25.4860600479269
321,47,2,2,23.54257931672
322,47,2,3,92.9713758133345
323,48,2,1,113.670575060024
324,48,2,2,33.2869788286845
325,48,2,2,27.0913132343059
326,48,2,2,25.0922848236665
327,48,2,2,25.6289620239621
328,48,2,2,20.0699747256702
329,48,2,3,46.0936184068365
330,49,1,1,70.2028050242606
331,49,1,2,41.3312554553597
332,49,1,2,29.9414373680637
333,49,1,2,23.7893082262448
334,49,1,2,41.4972690055602
335,49,1,2,30.1526912335378
336,49,1,3,129.391870408618
337,50,1,1,51.4010591418114
338,50,1,2,46.3296606950159
339,50,1,2,33.7390944352698
340,50,1,2,39.3490505745732
341,50,1,2,34.5404173047216
342,50,1,2,50.534350767333
343,50,1,3,62.4288961975683
344,51,2,1,47.8444257621067
345,51,2,2,26.1918412622334
346,51,2,2,14.3822912934219
347,51,2,2,22.8460945577503
348,51,2,2,26.707012712906
349,51,2,2,13.5831733058058
350,51,2,3,50.668759132032
351,52,2,1,36.6035972625086
352,52,2,2,33.4404318893184
353,52,2,2,29.1678589694616
354,52,2,2,16.2670419093629
355,52,2,2,17.2125292854142
356,52,2,2,17.602850378143
357,52,2,3,24.2341075319796
358,53,2,1,97.8276058189659
359,53,2,2,28.8786924312696
360,53,2,2,17.7881065400579
361,53,2,2,25.4641307895441
362,53,2,2,17.165058807459
363,53,2,2,20.3005978226194
364,53,2,3,46.752982179372
365,54,2,1,87.4891652092659
366,54,2,2,37.623241182242
367,54,2,2,49.3116230930263
368,54,2,2,35.4490683119655
369,54,2,2,32.4104969932303
370,54,2,2,24.6069794983731
371,54,2,3,56.7726733002018
372,55,2,1,51.5285360388486
373,55,2,2,27.1403987535306
374,55,2,2,26.6695358606538
375,55,2,2,20.8749546706021
376,55,2,2,30.958832215182
377,55,2,2,18.0321966121407
378,55,2,3,92.2295569869116
379,56,1,1,32.6838581412306
380,56,1,2,29.6187675959063
381,56,1,2,17.2056691308877
382,56,1,2,20.7054204580175
383,56,1,2,14.0715555256338
384,56,1,2,13.8405007208988
385,56,1,3,48.030819786589
386,57,1,1,115.495020489301
387,57,1,2,50.8499030001071
388,57,1,2,33.9750743576133
389,57,1,2,23.6686206826055
390,57,1,2,30.577186203166
391,57,1,2,38.1797017403561
392,57,1,3,79.5311781331753
393,58,2,1,71.818489083352
394,58,2,2,57.8772755176844
395,58,2,2,37.2530567970537
396,58,2,2,31.9302398380071
397,58,2,2,38.2579886723266
